City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
406,arlit,18.7369,7.3853,289.48,22,22,1.96,NE,1676958063
407,eyl,7.9803,49.8164,298.94,59,75,7.84,SO,1676958064
408,saint-pierre,-21.3393,55.4781,305.97,58,96,3.6,RE,1676958064
409,beysehir,37.6773,31.7246,275.46,85,29,1.88,TR,1676958065
410,vieques,18.425,-65.8329,297.17,78,20,1.54,PR,1676958065
411,bahadurganj,26.2667,87.8167,302.98,30,2,1.63,IN,1676958066
412,lavrentiya,65.5833,-171.0,250.99,99,93,1.5,RU,1676958066
413,sabha,27.0377,14.4283,282.04,47,4,3.6,LY,1676958067
414,chara,56.9064,118.2631,259.03,96,100,0.7,RU,1676958067
415,lexington,37.9887,-84.4777,284.09,87,0,3.09,US,1676957904
416,severo-kurilsk,50.6789,156.125,267.74,71,77,5.58,RU,1676958068
417,kloulklubed,7.0419,134.2556,299.43,76,83,5.17,PW,1676958069
418,bouna,9.2667,-3.0,294.87,19,0,2.44,CI,1676958069
419,rayagada,19.1667,83.4167,308.34,16,2,1.59,IN,1676958070
420,socorro,31.6546,-106.3033,289.71,58,75,2.57,US,1676957816
421,lagoa,39.05,-27.9833,287.76,87,100,8.41,PT,1676958070
422,rubizhne,49.0123,38.3797,273.85,97,100,9.27,UA,1676958071
423,periyapatti,10.75,77.2667,302.71,31,13,3.94,IN,1676958072
424,harper,4.375,-7.7169,298.86,88,11,1.31,LR,1676958072
425,chirongui,-12.9319,45.1483,303.11,71,100,2.42,YT,1676958073
426,nueva santa rosa,14.3811,-90.2761,291.36,84,20,2.54,GT,1676958073
427,presidente medici,-11.1753,-61.9014,294.49,98,100,2.11,BR,1676958074
428,mataro,41.5421,2.4445,286.08,80,91,1.3,ES,1676958074
429,bucerias,20.75,-105.3333,295.92,83,0,1.03,MX,1676958075
430,alakurtti,66.9672,30.3491,249.94,100,100,0.92,RU,1676958075
431,oskemen,49.9565,82.6119,273.13,55,75,8.0,KZ,1676958076
432,bahia blanca,-38.7196,-62.2724,296.09,36,64,0.45,AR,1676958009
433,niquero,20.0431,-77.5828,295.71,78,0,2.43,CU,1676958077
434,camp verde,34.5636,-111.8543,285.43,63,80,1.26,US,1676958077
435,maine-soroa,13.2114,12.0241,290.92,21,6,4.8,NE,1676958078
